Test-ID,Binary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,input1_df,input1_t,input1_grid_size_r,input1_grid_size_c,input1_mb_r,input1_mb_c,input1_ub_r,input1_ub_c,input1_ublock_order,input1_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization-all-inputs,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
11,multiply,HiFi4,Int8,1,1,1,4,2,1,2,r,2,Int8,1,1,1,4,2,1,2,r,2,Int8,1,1,1,4,2,1,2,r,2,0,127,17.762697219848633,368953,5.877416863193012,5.877416863193012,5.863284249298442,5.861689700314132,5.861689700314132,5.861689700314132
12,multiply,HiFi4,Int8,1,1,1,4,4,1,2,r,2,Int8,1,1,1,4,4,1,2,r,2,Int8,1,1,1,4,4,1,2,r,2,0,127,17.94978141784668,730215,5.930641254012761,5.930641254012761,5.92376485398271,5.923428031470183,5.923428031470183,5.923428031470183
13,multiply,HiFi4,Int8,1,1,1,2,4,1,2,r,2,Int8,1,1,1,2,4,1,2,r,2,Int8,1,1,1,2,4,1,2,r,2,0,127,17.78245735168457,368543,5.883218042886401,5.883218042886401,5.870133280808877,5.868210765093897,5.868210765093897,5.868210765093897
14,multiply,HiFi4,Int8,1,1,1,4,4,2,2,r,2,Int8,1,1,1,4,4,2,2,r,2,Int8,1,1,1,4,4,2,2,r,2,0,127,30.354230880737305,863616,10.0238334368825,10.0238334368825,10.02055674118213,10.016896398399288,10.016896398399288,10.016896398399288
15,multiply,HiFi4,Int8,1,1,1,4,2,2,2,r,2,Int8,1,1,1,4,2,2,2,r,2,Int8,1,1,1,4,2,2,2,r,2,0,127,28.511762619018555,459712,9.41911440329218,9.41911440329218,9.408562358594805,9.408882082695254,9.408882082695254,9.408882082695254
16,multiply,HiFi4,Int8,1,1,1,4,4,2,1,r,2,Int8,1,1,1,4,4,2,1,r,2,Int8,1,1,1,4,4,2,1,r,2,0,127,18.67966079711914,701683,6.174399081519463,6.174399081519463,6.16771723477826,6.16428786218278,6.16428786218278,6.16428786218278
17,multiply,HiFi4,Int8,1,1,1,4,4,4,1,r,2,Int8,1,1,1,4,4,4,1,r,2,Int8,1,1,1,4,4,4,1,r,2,0,127,30.24144172668457,866837,9.986187382490366,9.986187382490366,9.981809110795563,9.979675533001014,9.979675533001014,9.979675533001014
18,multiply,HiFi4,Int8,1,1,1,4,4,1,1,r,2,Int8,1,1,1,4,4,1,1,r,2,Int8,1,1,1,4,4,1,1,r,2,0,127,9.679468154907227,677062,3.2,3.2,3.1951445771830267,3.1942244580260004,3.1942244580260004,3.1942244580260004
19,multiply,HiFi4,Int8,1,1,1,4,2,1,1,r,2,Int8,1,1,1,4,2,1,1,r,2,Int8,1,1,1,4,2,1,1,r,2,0,127,9.057437896728516,361780,2.9980132394814865,2.9980132394814865,2.9866132197586537,2.9889546133009013,2.9889546133009013,2.9889546133009013
20,multiply,HiFi4,Int8,1,1,1,2,2,4,1,r,2,Int8,1,1,1,2,2,4,1,r,2,Int8,1,1,1,2,2,4,1,r,2,0,127,27.59305763244629,237509,9.128000068062516,9.128000068062516,9.106307132126398,9.105709678370083,9.105709678370083,9.105709678370083
21,multiply,HiFi4,Int8,1,1,1,2,4,4,1,r,2,Int8,1,1,1,2,4,4,1,r,2,Int8,1,1,1,2,4,4,1,r,2,0,127,30.525449752807617,429386,10.088112644272584,10.088112644272584,10.078446660310274,10.073397828527247,10.073397828527247,10.073397828527247
22,multiply,HiFi4,Int8,1,1,1,4,2,4,1,r,2,Int8,1,1,1,4,2,4,1,r,2,Int8,1,1,1,4,2,4,1,r,2,0,127,28.291749954223633,463287,9.343240624829914,9.343240624829914,9.335903203491078,9.33627751264335,9.33627751264335,9.33627751264335
23,multiply,HiFi4,Int8,1,1,1,4,2,2,1,r,2,Int8,1,1,1,4,2,2,1,r,2,Int8,1,1,1,4,2,2,1,r,2,0,127,18.25627326965332,358978,6.04222080178412,6.04222080178412,6.027268590561046,6.024569750792527,6.024569750792527,6.024569750792527
