Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
1483,nop,HiFi4,Float16_b,1,1,1,4,2,2,4,r,2,Float16_b,1,1,1,4,2,2,4,r,2,0,127,5.426082134246826,1207796,14.072713258178931,N/A,14.093160587726304,14.10781290880248,N/A,14.10781290880248
1231,nop,HiFi4,Float16_b,1,1,1,4,2,4,1,r,2,Float16_b,1,1,1,4,2,4,1,r,2,0,127,5.535191535949707,591994,14.355278330171808,N/A,14.373658811966713,14.391497211120383,N/A,14.391497211120383
1533,nop,HiFi4,Float16_b,1,1,1,4,2,4,2,r,2,Float16_b,1,1,1,4,2,4,2,r,2,0,127,5.436042308807373,1205583,14.098672628732164,N/A,14.126096979551457,14.133709582832537,N/A,14.133709582832537
583,nop,HiFi4,Float16_b,1,1,1,4,2,8,1,r,2,Float16_b,1,1,1,4,2,8,1,r,2,0,127,5.426441192626953,1207716,14.078760327206197,N/A,14.101153866043441,14.108747420751236,N/A,14.108747420751236
1117,nop,HiFi4,Float16_b,1,1,1,4,4,1,1,r,2,Float16_b,1,1,1,4,4,1,1,r,2,0,127,3.065030813217163,534546,7.987859155621661,N/A,7.975905615229584,7.969080303659554,N/A,7.969080303659554
1557,nop,HiFi4,Float16_b,1,1,1,4,4,1,2,r,2,Float16_b,1,1,1,4,4,1,2,r,2,0,127,5.37358283996582,609798,13.983956644228908,N/A,13.976372940485934,13.97131509122693,N/A,13.97131509122693
1428,nop,HiFi4,Float16_b,1,1,1,4,4,1,4,r,2,Float16_b,1,1,1,4,4,1,4,r,2,0,127,5.4173264503479,1209748,14.0458456673759,N/A,14.07318183747895,14.08504911766748,N/A,14.08504911766748
1416,nop,HiFi4,Float16_b,1,1,1,4,4,1,8,r,2,Float16_b,1,1,1,4,4,1,8,r,2,0,127,5.402393341064453,2426184,14.028485569891876,N/A,14.042205756176083,14.046222380495461,N/A,14.046222380495461
1009,nop,HiFi4,Float16_b,1,1,1,4,4,2,1,r,2,Float16_b,1,1,1,4,4,2,1,r,2,0,127,5.333827972412109,614343,13.880146073614796,N/A,13.872355788955444,13.867953244360235,N/A,13.867953244360235
1618,nop,HiFi4,Float16_b,1,1,1,4,4,2,2,r,2,Float16_b,1,1,1,4,4,2,2,r,2,0,127,5.411310195922852,1211093,14.029085085284441,N/A,14.057781935349755,14.06940672599049,N/A,14.06940672599049
