input0_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,runtime
Bfp8_b,LoFi,1,4,8,2,1,59562
Bfp8_b,LoFi,1,4,8,2,2,117866
Bfp8_b,LoFi,1,4,8,4,1,117847
Bfp8_b,LoFi,1,8,2,1,1,15188
Bfp8_b,LoFi,1,8,2,1,2,29920
Bfp8_b,LoFi,1,8,2,1,4,59108
Bfp8_b,LoFi,1,8,2,1,8,117459
Bfp8_b,LoFi,1,8,2,2,1,29917
Bfp8_b,LoFi,1,8,2,2,2,59110
Bfp8_b,LoFi,1,8,2,2,4,117474
Bfp8_b,LoFi,1,8,2,4,1,59112
Bfp8_b,LoFi,1,8,2,4,2,117443
Bfp8_b,LoFi,1,8,4,1,1,30142
Bfp8_b,LoFi,1,8,4,1,2,59570
Bfp8_b,LoFi,1,8,4,1,4,117880
Bfp8_b,LoFi,1,8,4,2,1,59568
Bfp8_b,LoFi,1,8,4,2,2,117823
Bfp8_b,LoFi,1,8,4,4,1,117840
Bfp8_b,LoFi,1,8,8,1,1,60086
Bfp8_b,LoFi,1,8,8,1,2,118868
Bfp8_b,LoFi,1,8,8,2,1,118843
