Test-ID,Unary-Type,math_fidelity,input0_df,input0_t,input0_grid_size_r,input0_grid_size_c,input0_mb_r,input0_mb_c,input0_ub_r,input0_ub_c,input0_ublock_order,input0_buf_size_mb,output_df,output_t,output_grid_size_r,output_grid_size_c,output_mb_r,output_mb_c,output_ub_r,output_ub_c,output_ublock_order,output_buf_size_mb,first-input-idx-recorded,last-input-idx-recorded,average-math-utilization,total-runtime,input0-bw,input1-bw,output-bw,input0-bw-across-cores-total-runtime,input1-bw-across-cores-total-runtime,output-bw-across-cores-total-runtime
141,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,4,1,2,r,2,Bfp8_b,1,1,1,4,4,1,2,r,2,0,127,43.44419860839844,3394147,1.6266700759294352,N/A,1.6247175470418374,1.6246199825758871,N/A,1.6246199825758871
142,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,4,1,4,r,2,Bfp8_b,1,1,1,2,4,1,4,r,2,0,127,43.543212890625,3386429,1.630512466249039,N/A,1.6285405279261371,1.6283226490205462,N/A,1.6283226490205462
143,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,4,1,8,r,2,Bfp8_b,1,1,1,2,4,1,8,r,2,0,127,43.695335388183594,6749279,1.635147266141833,N/A,1.6341384901409477,1.6340112892058543,N/A,1.6340112892058543
144,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,4,1,2,r,2,Bfp8_b,1,1,1,2,4,1,2,r,2,0,127,43.33311462402344,1701424,1.6245593089285564,N/A,1.6206584747836257,1.620465868590075,N/A,1.620465868590075
145,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,7,1,4,r,2,Bfp8_b,1,1,1,4,7,1,4,r,2,0,127,43.58950424194336,11839914,1.6306625624444937,N/A,1.6301311712571287,1.6300537858636472,N/A,1.6300537858636472
146,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,7,1,8,r,2,Bfp8_b,1,1,1,4,7,1,8,r,2,0,127,43.71955108642578,23609393,1.635236771969484,N/A,1.634958651778737,1.634916801122333,N/A,1.634916801122333
147,gelu_derivative,LoFi,Bfp8_b,1,1,1,4,7,1,2,r,2,Bfp8_b,1,1,1,4,7,1,2,r,2,0,127,43.49313735961914,5933074,1.6276189792968763,N/A,1.6265060692066058,1.6264500189952122,N/A,1.6264500189952122
148,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,7,1,4,r,2,Bfp8_b,1,1,1,2,7,1,4,r,2,0,127,43.57269287109375,5922241,1.6306507592449497,N/A,1.629542020902887,1.629425131466281,N/A,1.629425131466281
149,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,7,1,2,r,2,Bfp8_b,1,1,1,2,7,1,2,r,2,0,127,43.43199920654297,2970713,1.6265196085259925,N/A,1.6242751642010216,1.6241636805709605,N/A,1.6241636805709605
150,gelu_derivative,LoFi,Bfp8_b,1,1,1,2,7,1,8,r,2,Bfp8_b,1,1,1,2,7,1,8,r,2,0,127,43.709720611572266,11807350,1.635203467954477,N/A,1.634626971981593,1.6345493815293015,N/A,1.6345493815293015
