input0,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,runtime
Bfp8_b,LoFi,1,2,2,8,1,2880
Bfp8_b,LoFi,1,2,4,1,1,2913
Bfp8_b,LoFi,1,2,4,1,2,3099
Bfp8_b,LoFi,1,2,4,1,4,3720
Bfp8_b,LoFi,1,2,4,1,8,6266
Bfp8_b,LoFi,1,2,4,2,1,3137
Bfp8_b,LoFi,1,2,4,2,2,3692
Bfp8_b,LoFi,1,2,4,2,4,6241
Bfp8_b,LoFi,1,2,4,4,1,3702
Bfp8_b,LoFi,1,2,4,4,2,5787
Bfp8_b,LoFi,1,2,4,8,1,6186
Bfp8_b,LoFi,1,2,8,1,1,6173
Bfp8_b,LoFi,1,2,8,1,2,6306
Bfp8_b,LoFi,1,2,8,1,4,7703
Bfp8_b,LoFi,1,2,8,1,8,12210
Bfp8_b,LoFi,1,2,8,2,1,6501
Bfp8_b,LoFi,1,2,8,2,2,7412
Bfp8_b,LoFi,1,2,8,2,4,12157
Bfp8_b,LoFi,1,2,8,4,1,8079
Bfp8_b,LoFi,1,2,8,4,2,12400
Bfp8_b,LoFi,1,2,8,8,1,12302
Bfp8_b,LoFi,1,4,2,1,1,2907
Bfp8_b,LoFi,1,4,2,1,2,3252
Bfp8_b,LoFi,1,4,2,1,4,3830
Bfp8_b,LoFi,1,4,2,1,8,6311
Bfp8_b,LoFi,1,4,2,2,1,3172
Bfp8_b,LoFi,1,4,2,2,2,3724
Bfp8_b,LoFi,1,4,2,2,4,6175
Bfp8_b,LoFi,1,4,2,4,1,3695
Bfp8_b,LoFi,1,4,2,4,2,6165
Bfp8_b,LoFi,1,4,2,8,1,6283
Bfp8_b,LoFi,1,4,4,1,1,6144
Bfp8_b,LoFi,1,4,4,1,2,6384
Bfp8_b,LoFi,1,4,4,1,4,7446
Bfp8_b,LoFi,1,4,4,1,8,12452
Bfp8_b,LoFi,1,4,4,2,1,6486
Bfp8_b,LoFi,1,4,4,2,2,7324
Bfp8_b,LoFi,1,4,4,2,4,12321
Bfp8_b,LoFi,1,4,4,4,1,7407
Bfp8_b,LoFi,1,4,4,4,2,12273
Bfp8_b,LoFi,1,4,4,8,1,12309
Bfp8_b,LoFi,1,4,8,1,1,12601
Bfp8_b,LoFi,1,4,8,1,2,13073
Bfp8_b,LoFi,1,4,8,1,4,14836
Bfp8_b,LoFi,1,4,8,2,1,12954
Bfp8_b,LoFi,1,4,8,2,2,14782
Bfp8_b,LoFi,1,4,8,4,1,14701
Bfp8_b,LoFi,1,8,2,1,1,6151
Bfp8_b,LoFi,1,8,2,1,2,6412
Bfp8_b,LoFi,1,8,2,1,4,7314
Bfp8_b,LoFi,1,8,2,1,8,12304
Bfp8_b,LoFi,1,8,2,2,1,6402
Bfp8_b,LoFi,1,8,2,2,2,7507
Bfp8_b,LoFi,1,8,2,2,4,12284
