input0_df,input1_df,output_df,accum_df,intermed_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,m_k,u_kt,runtime
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,1,2,4,3854
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,1,2,8,5976
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,1,2,16,10300
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,1,4,2,6832
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,1,4,4,8451
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,1,4,8,12954
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,1,4,16,21982
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,1,8,2,14492
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,1,8,4,18352
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,1,8,8,26944
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,2,2253
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,4,2738
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,8,4885
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,1,16,9223
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,2,4693
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,4,6446
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,8,10904
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,2,16,19532
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,4,2,10941
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,4,4,13935
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,4,8,22536
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,8,2,22644
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,2,8,4,28980
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,2,3104
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,4,5159
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,8,9469
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,1,16,18200
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,2,2,7551
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,2,4,11664
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,2,8,20182
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,4,2,16401
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,4,4,24224
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,2,4,8,2,34176
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,1,1,2,1914
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,1,1,4,2715
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,1,1,8,4886
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,1,1,16,9236
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,1,2,2,4766
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,1,2,4,6398
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,1,2,8,10726
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,1,2,16,19800
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,1,4,2,10190
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,1,4,4,14019
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,1,4,8,22966
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,1,8,2,20820
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,1,8,4,29047
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,1,2,3106
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,1,4,5173
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,1,8,9472
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,1,16,18146
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,2,2,7751
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,2,4,11573
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,2,8,20230
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,2,16,37960
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,4,2,16786
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,4,4,24399
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,4,8,41801
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,8,2,34879
Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,Bfp8_b,LoFi,1,2,2,4,2,8,4,50300
